,value
total_pl_import,3276
total_ng_production,608
total_pl_import_russia,1752
total_domestic_demand,926
total_ghd_demand,421
total_electricity_demand,1515
total_industry_demand,1110
total_exports_and_other,988
red_dom_dem,0.13
red_elec_dem,0.2
red_ghd_dem,0.08
red_ind_dem,0.08
red_exp_dem,0.14
import_stop_date,2022-04-16 00:00:00
demand_reduction_date,2022-03-16 00:00:00
lng_increase_date,2022-05-01 00:00:00
total_lng_import,914
add_lng_import,908
add_pl_import,0
reduction_import_russia,1.0
storCap,1100
